,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
610,flick hockey,"Flick Hockey is a Field Hockey Hub! The #championstore, a retail shop and one E commerce where you can find products for beginners to Olympic athletes.  We have orders from all the world, and we are creating a hockey community.  Also developed Flick Academy to do clinics, camps and events for hockey players.",Ecommerce & Trade,,SportsRecycling & Recovery Seed,Seed,,, 2016,,7,http://startupshub.catalonia.com
611,floorfy,"Floorfy is a Saas for the real estate market that lets agents to create in an easy way, their own virtual reality content to promote their properties.",R+D+I Services,,ProptechAR/VR Seed,Seed,,, 2016,,4,http://startupshub.catalonia.com
612,fluttr professional network,"We are here to change that. We are here to make recruitment an open, social and engaging process. A recruitment experience where job applicants learn from the recruitment process, connect with real experts and get a constructive feedback.",,,Business Services & SoftwareAI & Big Data Undisclosed Funding,-,,, 2016,,0,http://startupshub.catalonia.com
613,flyshionista,"Flyshionista, the first social delivery network for fashion and style, connecting style hunters and travelers all around the world.   With Flyshionista, fashion lovers can purchase and receive style items from anywhere in the world, while travelers can earn money delivering them on your travels.","Advertising, Ecommerce & Trade, Marketplace",,Community & Social networkCloud & Edge Computing Seed,Seed,,, 2016,,6,http://startupshub.catalonia.com
614,forever us,"Forever Us  designs, manufactures and sells unique gravestones. A new generation of gravestones that features colour and images for customization to the tastes of the family. Gravestones are made with Custones(R), a new technology that comes with a long-life guarantee (30 years). The offering includes an online gravestone design system for managing the orders and controlling installation. An essential tool for funeral homes, and insurance companies around the world.",Development & Manufacturing,,Beauty & Personal careAdditive manufacturing Series A,Series A,,, 2012,,11,http://startupshub.catalonia.com
615,formaldocs,"FormalDocs belongs to LegalTech sector, it is a platform that allows users to easily customize contracts. Through blockchain technology and smart contracts, it is possible to automate transactions and offer affordable and updated to law agreements that can be signed online.",Saas,,LegaltechCloud & Edge Computing Seed,Seed,,, 2014,,0,http://startupshub.catalonia.com
616,fortuluz,Fortaluz is a electricity supplier. Fortaluz offers the lowest prices and options to adapt user's power intake.,,,Green & EnergytechEnergy Harvesting Undisclosed Funding,-,,, 2015,,0,http://startupshub.catalonia.com
617,freeox biotech,"FreeOx Biotech is an innovative company focused on developing medicines addressed to reduce the effects of the oxidative stress in the organism, and especially those related to the neurological and cardiovascular system, such as stroke.",Development & Manufacturing,,HealthtechNew biological design Pre-seed,Pre-seed,,, 2017,,2,http://startupshub.catalonia.com
618,future sisens sl,"FutureSiSens, S.L. is a technology-based company (EBT) owned by the Autonomous University of Barcelona (UAB) that designs, develops and manufactures thermoelectric-based microsensors capable of detecting very small flows and flow variations and autonomously.",R+D+I Services,,Green & EnergytechIoT & Sensors Undisclosed Funding,-,,, 2016,,0,http://startupshub.catalonia.com
619,fwn,"Desenvolupament d'un sistema de dessalació d'aigua de mar mitjançant tècniques de destilació a baixa temperatura i en condicions properes al buit, amb consums d'electricitat notablement inferiors als de la ósmosis inversa i aprofitant fonts de calor residual de fonts naturals o industrials.","Development & Manufacturing, R+D+I Services",,Green & EnergytechFrontier materials Series A,Series A,,, 2013,,26,http://startupshub.catalonia.com
620,factorial recursos humanos,We've developed a free software that let HR departments automatize all their tasks. With Factorial HR managers can manage employee¿s holidays and sick leaves easily and offer benefits or flexible compensation plans. They can also automatize payroll easily and effortlessly. Save time managing your company and employees.,"Marketplace, Saas",,Business Services & SoftwareCloud & Edge Computing Series A,Series A,,, 2016,,7,http://startupshub.catalonia.com
621,faind,Faind is a sports sponsorship marketplace that offers advertising campaigns to brands through sport with ROI measurement,"Consultancy & Agency, Marketplace",,AdtechAI & Big Data Undisclosed Funding,-,,, 2021,,0,http://startupshub.catalonia.com
622,famileo,"FAMILEO is a mobile application for social networking allowing families and friends to keep easily in touch with their elderly friends and family members.



The family members can upload pictures and messages in the application. These documents are subsequently edited in the form of a newspaper,  sent to the elderly members of the family who are not used to the Internet and do not have either a computer or a smart phone.",,,Community & Social networkAI & Big Data Pre-seed,Pre-seed,,, 2019,,8,http://startupshub.catalonia.com
623,familyar,"AdaptiveCity is a company that specializes in the development of mobile environment and SmartCities solutions. We have developed Familyar, a product that helps to prevent loneliness and social isolation among older people, by helping them to keep in contact with the family, friends and their social environment.","Development & Manufacturing, Other types of licence",,ICT & MobileIoT & SensorsHealthtech Digital Content & Media Hardware Community & Social network AI & Big Data Cloud & Edge Computing Connectivity  Pre-seed,Pre-seed,,, 2014,,5,http://startupshub.catalonia.com
624,farmaconfianza,Online pharmacy and drug store operator ; All other health and personal care store operator ; Infants products retailer ; Cosmetics and beauty products retailer ; Food supplement retailer ; Pharmaceutical products retailer,Ecommerce & Trade,,Beauty & Personal careAI & Big Data Seed,Seed,,, 2015,,0,http://startupshub.catalonia.com
625,farmalinked,"Farmalinked is a cloud platform for the pharmaceutical sector, designed and implemented as new concept to improve the commercial relationship between the companies and its customers. It is an evolution of a Professional Social Network and a CRM.",Saas,,HealthtechAutomation Seed,Seed,,, 2012,,2,http://startupshub.catalonia.com
626,favenk,Use the best robot simulators in the world from only a web browser.,Consultancy & Agency,,Fashion & DesignRobotics & Collaborative Robotics Undisclosed Funding,-,,, 2012,,0,http://startupshub.catalonia.com
627,fent país,Fentpaís offers experiences in Catalonia.,Consultancy & Agency,,Traveltech & LeisureAI & Big Data Pre-seed,Pre-seed,,, 2013,,2,http://startupshub.catalonia.com
628,fiction express (boolino),"Boolino is building the largest online ecosystem of children's books. The Boolino Book Advisor is a free online resource that makes available to parents age-segmented book recommendations and quality content like video  book reviews.  As value-adding services we are creating reading tools for families and schools that engage children with reading and improve significantly reading habits and skills. We collaborate with over 40 Spanish children's books publishers, representing 90% of the sector.","Consultancy & Agency, Ecommerce & Trade",,EdtechAI & Big Data Series A,Series A,,, 2011,,0,http://startupshub.catalonia.com
629,filmarket hub,"Filmarket Hub is the biggest online film market in Europe and Latin America. A platform where film companies find great projects to make, and great projects find the partners they need.  Feature films and TV series are the new global trend and Filmarket Hub is one of four companies in the world that offers scripts and new ideas to be produced and after enjoyed by everyone.  Welcome to the film industry AngelList","Marketplace, Saas",,Digital Content & MediaAI & Big Data Series A,Series A,,, 2017,,10,http://startupshub.catalonia.com
630,finanzarel,"Finanzarel is the first Spanish online platform allowing Small and Medium Enterprises (SMEs) access to the capital blocked in their long-dated invoices. Finanzarel provides short-term and invoice finance in a fast, flexible, and transparent way while offering professional investors the opportunity to invest in a short-term asset that yields above-average risk-adjusted returns.",Marketplace,,FintechCloud & Edge Computing Series A,Series A,,, 2013,,6,http://startupshub.catalonia.com
631,finboot,"Finboot is the SaaS company behind MARCO, a suite of blockchain applications and middleware solutions for value and supply chains.",,,Business Services & SoftwareDLT/BlockchainIoT & Sensors Cybersecurity Cloud & Edge Computing Automation Recycling & Recovery  Undisclosed Funding,-,,, 2017,,0,http://startupshub.catalonia.com
632,finergia,Finergia develops a methodology and a technological platform to offer a personalized service as an outsourced Financial Director.,Saas,,Business Services & SoftwareAI & Big Data Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
633,finloop,"Fintech, helping Borrowers and Lenders to digitalize their business",Saas,,FintechCloud & Edge Computing Series A,Series A,,, 2020,,2,http://startupshub.catalonia.com
634,finnu,Finnu is on a mission to build business services for the Latin American micro merchants.,"Saas, Software licence",,FintechConnectivity Seed,Seed,,, 2020,,0,http://startupshub.catalonia.com
635,finteca,"Finteca transforms the experience of obtaining the best mortgage,  with credit scoring and document processing software to make it a seamless experience.",Consultancy & Agency,,FintechAI & Big Data Series A,Series A,,, 2017,,0,http://startupshub.catalonia.com
636,firstvision,"First V1sion is shaping the future of sports broadcasting. By immersing fans in athletes' field of vision, they experience sensations of speed, vertigo, emotion and excitement as they never have before.",Others,,SportsIoT & Sensors Seed,Seed,,, 2014,,6,http://startupshub.catalonia.com
637,fitlab,Free application for smartphones and tablets (iOS and Android) that provides you with immediate information on your physical and mental condition in specific performance situations.,,,HealthtechAI & Big Data Undisclosed Funding,-,,, 2013,,2,http://startupshub.catalonia.com
638,fitostinger,FitoStinger is a company with a marked innovative profile. It offers pest control through drone technology.,Software licence,,AgritechAutomation Undisclosed Funding,-,,, 2017,,0,http://startupshub.catalonia.com
639,fittest freakest,"Selling footwear, apparel and accessories for crossfit and training from the biggest brands.","Advertising, Ecommerce & Trade, Marketplace, Subscription",,SportsAI & Big DataFashion & Design  Seed,Seed,,, 2015,,21,http://startupshub.catalonia.com
640,fivent,"Fivent is an online financial advisor that offers annual subscriptions to its customers to strengthen their finances by using algorithms to assess their financial position, identify areas of opportunity,  prioritize goals, create action plans, provide them tools, and financial information. Our goal is to help our customers to be able to sustain or improve their standard of living in the future.",Saas,,FintechAI & Big Data Pre-seed,Pre-seed,,, 2019,,10,http://startupshub.catalonia.com
641,flanks,End-to-end solutions to empower business over banking enriched data.,,,FintechAI & Big Data Pre-seed,Pre-seed,,, 2018,,11,http://startupshub.catalonia.com
642,flash park,"Finding parking has never been easier. Flash Park, SL provides a revolutionary solution to efficiently find parking spots in the streets of crowded cities using a network of renewable energy-powered parking sensors. The benefits of their solution go beyond reducing time spent finding parking by 90%, each vehicle reduces an average of 0.125 tons of CO2.","Development & Manufacturing, Saas, Software licence",,Logistic TechIoT & SensorsClean Energy  Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
643,flatfit app,"The Real State Industry by definition focuses mainly on the physical space. FlatFit is changing this By putting people first.FlatFit revolutionises how the rental industry connects people. It¿s a social platform based on flatmate matching. FlatFit tells you the percentage of compatibility with your future flatmates and at the same time, we help landlords fin their ideal tenants according to their preferences.","Marketplace, Saas, Subscription",,ProptechAI & Big DataCommunity & Social network  Series A,Series A,,, 2017,,25,http://startupshub.catalonia.com
